name,nationality,rating,position1,position2,position3,age,team
Leonardo Bonucci,Italy,86,CB,,,31,Juventus
Jérôme Boateng,Germany,86,CB,,,29,FC Bayern
Ivan Perišić,Croatia,86,LM,,,29,Inter
Miralem Pjanić,Bosnia Herzegovina,86,CM,CDM,,28,Juventus
Medhi Benatia,Morocco,86,CB,,,31,Juventus
Mesut Özil,Germany,86,CAM,RM,RW,29,Arsenal
Naldo,Brazil,86,CB,,,35,Schalke
Fernandinho,Brazil,86,CDM,,,33,Manchester City
Milan Škriniar,Slovakia,85,CB,,,23,Inter
Sergej Milinković-Savić,Serbia,85,CM,CAM,,23,Lazio
Marco Asensio,Spain,85,LW,CAM,RW,22,Real Madrid
Nabil Fekir,France,85,CAM,ST,,25,OL
Alisson,Brazil,85,GK,,,25,Liverpool
Joshua Kimmich,Germany,85,RB,CM,CB,23,FC Bayern
Fabinho,Brazil,85,CDM,,,24,Liverpool
Saúl,Spain,85,CM,LM,RM,23,Atlético Madrid
Riyad Mahrez,Algeria,85,RW,RM,,27,Manchester City
Virgil van Dijk,Netherlands,85,CB,,,27,Liverpool
Raheem Sterling,England,85,RW,LW,CF,23,Manchester City
David Alaba,Austria,85,LB,CB,CM,26,FC Bayern
Koke,Spain,85,LM,CM,RM,26,Atlético Madrid
Kostas Manolas,Greece,85,CB,,,27,Roma
Iago Aspas,Spain,85,RW,ST,,31,RC Celta
Marco Reus,Germany,85,LM,CAM,ST,29,Dortmund
PaulinhoL,Brazil,85,CM,CAM,CDM,30,Guangzhou
Yacine Brahimi,Algeria,85,LM,,,28,FC Porto
Toby Alderweireld,Belgium,85,CB,,,29,Spurs
Arturo Vidal,Chile,85,CDM,CM,,31,FC Barcelona
Edin Džeko,Bosnia Herzegovina,85,ST,,,32,Roma
Sami Khedira,Germany,85,CM,CDM,,31,Juventus
Diego Costa,Spain,85,ST,,,29,Atlético Madrid
Radja Nainggolan,Belgium,85,CM,CAM,,30,Inter
Blaise Matuidi,France,85,CDM,CM,,31,Juventus
Miranda,Brazil,85,CB,,,33,Inter
Falcao,Colombia,85,ST,,,32,AS Monaco
Filipe Luís,Brazil,85,LB,,,33,Atlético Madrid
Franck Ribéry,France,85,LM,LW,,35,FC Bayern
Vincent Kompany,Belgium,85,CB,,,32,Manchester City
Pepe,Portugal,85,CB,,,35,Beşiktaş
Zlatan Ibrahimović,Sweden,85,ST,,,36,LA Galaxy
Arjen Robben,Netherlands,85,RM,RW,,34,FC Bayern
Davinson Sánchez,Colombia,84,CB,,,22,Spurs
Bernardo Silva,Portugal,84,RW,CAM,,24,Manchester City
José María Giménez,Uruguay,84,CB,RB,,23,Atlético Madrid
Alex Telles,Brazil,84,LB,,,25,FC Porto
Niklas Süle,Germany,84,CB,,,22,FC Bayern
Dele Alli,England,84,CAM,,,22,Spurs
Marquinhos,Brazil,84,CB,,,24,Paris
William Carvalho,Portugal,84,CDM,CM,,26,Real Betis
Jorginho,Italy,84,CM,,,26,Chelsea
Florian Thauvin,France,84,RM,RW,,25,OM
Carvajal,Spain,84,RB,,,26,Real Madrid
Heung Min Son,Korea Republic,84,LM,ST,,26,Spurs
Sergi Roberto,Spain,84,RB,RM,,26,FC Barcelona
Anthony Lopes,Portugal,84,GK,,,27,OL
Rodrigo,Spain,84,ST,RW,LW,27,Valencia CF
Stefan de Vrij,Netherlands,84,CB,,,26,Inter
Mattia Perin,Italy,84,GK,,,25,Juventus
Neto,Brazil,84,GK,,,29,Valencia CF
Alexandre Lacazette,France,84,ST,,,27,Arsenal
Juan Cuadrado,Colombia,84,RM,RW,,30,Juventus
Henrikh Mkhitaryan,Armenia,84,CAM,RW,RM,29,Arsenal
Bernd Leno,Germany,84,GK,,,26,Arsenal
Lukáš Hrádecký,Finland,84,GK,,,28,Leverkusen
Illarramendi,Spain,84,CM,CDM,,28,Real Sociedad
Kyle Walker,England,84,RB,RWB,CB,28,Manchester City
İlkay Gündoğan,Germany,84,CM,CDM,,27,Manchester City
Wojciech Szczęsny,Poland,84,GK,,,28,Juventus
José Callejón,Spain,84,RW,,,31,Napoli
Ángel Di María,Argentina,84,RW,LW,,30,Paris
Mario Mandžukić,Croatia,84,ST,LW,,32,Juventus
Willian,Brazil,84,RW,RM,,30,Chelsea
Sergio Asenjo,Spain,84,GK,,,29,Villarreal CF
Javi Martínez,Spain,84,CDM,CB,,29,FC Bayern
Dimitri Payet,France,84,CAM,LM,,31,OM
Jonas,Brazil,84,ST,,,34,SL Benfica
Sokratis,Greece,84,CB,,,30,Arsenal
Stéphane Ruffier,France,84,GK,,,31,ASSE
Karim Benzema,France,84,ST,,,30,Real Madrid
Kasper Schmeichel,Denmark,84,GK,,,31,Leicester City
Cesc Fàbregas,Spain,84,CM,CDM,,31,Chelsea
Moussa Dembélé,Belgium,84,CM,CDM,,31,Spurs
Raúl Albiol,Spain,84,CB,,,32,Napoli
Alejandro Gómez,Argentina,84,CF,LW,ST,30,Atalanta
Andrea Barzagli,Italy,84,CB,,,37,Juventus
Quaresma,Portugal,84,RM,LM,,34,Beşiktaş
Gabriel Jesus,Brazil,83,ST,,,21,Manchester City
Ronaldo Cabrais,Brazil,83,RW,CAM,,26,Grêmio
Josué Chiamulera,Brazil,83,CB,,,26,Grêmio
Louri Beretta,Brazil,83,ST,CF,,26,Atlético Mineiro
Presnel Kimpembe,France,83,CB,,,23,Paris
Malcom,Brazil,83,RW,,,21,FC Barcelona
Naby Keïta,Guinea,83,CM,CDM,CAM,23,Liverpool
Corentin Tolisso,France,83,CM,CDM,,24,FC Bayern
Thomas Lemar,France,83,LM,CAM,,22,Atlético Madrid
Kingsley Coman,France,83,LM,RM,LW,22,FC Bayern
Jonathan Tah,Germany,83,CB,,,22,Leverkusen
Aymeric Laporte,France,83,CB,,,24,Manchester City
Bruno Fernandes,Portugal,83,CAM,CF,CM,23,Sporting CP
Timo Werner,Germany,83,ST,,,22,RB Leipzig
Anthony Martial,France,83,LW,ST,LM,22,Manchester Utd
Samu Castillejo,Spain,83,RM,LM,CM,23,Milan
Adrien Rabiot,France,83,CM,CDM,,23,Paris
Leon Goretzka,Germany,83,CM,CAM,CDM,23,FC Bayern
Quincy Promes,Netherlands,83,LM,ST,RM,26,Spartak Moscow
Lucas Vázquez,Spain,83,RW,RM,,27,Real Madrid
Yannick Carrasco,Belgium,83,LM,,,24,Dalian Yifang
Gerard Moreno,Spain,83,ST,,,26,Villarreal CF
Felipe,Brazil,83,CB,,,29,FC Porto
Mateo KovačićL,Croatia,83,CM,,,24,Chelsea
Kepa,Spain,83,GK,,,23,Chelsea
Manu Trigueros,Spain,83,CM,CDM,LM,26,Villarreal CF
Jordan Pickford,England,83,GK,,,24,Everton
Stefan Savić,Montenegro,83,CB,,,27,Atlético Madrid
Memphis Depay,Netherlands,83,ST,LW,,24,OL
Julian Draxler,Germany,83,CM,LW,LM,24,Paris
Morata,Spain,83,ST,,,25,Chelsea
Danilo Pereira,Portugal,83,CDM,CB,CM,26,FC Porto
Nacho Fernández,Spain,83,CB,LB,RB,28,Real Madrid
Timo Horn,Germany,83,GK,,,25,Köln
Pizzi,Portugal,83,CM,,,28,SL Benfica
Willian José,Brazil,83,ST,,,26,Real Sociedad
Oliver Baumann,Germany,83,GK,,,28,TSG Hoffenheim
Danijel Subašić,Croatia,83,GK,,,33,AS Monaco
Kamil Glik,Poland,83,CB,,,30,AS Monaco
Kevin Strootman,Netherlands,83,CM,CDM,,28,Roma
Shinji Kagawa,Japan,83,CAM,CM,CF,29,Dortmund
Bas Dost,Netherlands,83,ST,,,29,Sporting CP
Mario Balotelli,Italy,83,ST,,,28,OGC Nice
Luiz Gustavo,Brazil,83,CDM,CB,,31,OM
David Luiz,Brazil,83,CB,,,31,Chelsea
Ralf Fährmann,Germany,83,GK,,,29,Schalke
Éver Banega,Argentina,83,CAM,CM,CDM,30,Sevilla FC
Juan Mata,Spain,83,RM,RW,CAM,30,Manchester Utd
Adán,Spain,83,GK,,,31,Atlético Madrid
Rui Patrício,Portugal,83,GK,,,30,Wolves
Lucas Leiva,Brazil,83,CDM,CB,,31,Lazio
Emiliano Viviano,Italy,83,GK,,,32,Sporting CP
Steve Mandanda,France,83,GK,,,33,OM
Aduriz,Spain,83,ST,,,37,Athletic Club
Daniele De Rossi,Italy,83,CDM,,,35,Roma
Pepe Reina,Spain,83,GK,,,35,Milan
Jiří Pavlenka,Czech Republic,82,GK,,,26,Werder Bremen
Rodri,Spain,82,CM,CDM,,22,Atlético Madrid
Ousmane Dembélé,France,82,RW,LW,CM,21,FC Barcelona
Arthur,Brazil,82,CM,CDM,,22,FC Barcelona
Gianluigi Donnarumma,Italy,82,GK,,,19,Milan
Rosberto Dourado,Brazil,82,CDM,CM,,30,Atlético Mineiro
Juiano Mestres,Brazil,82,CB,CDM,,34,Cruzeiro
Raphaelito Anjos,Brazil,82,GK,,,30,Grêmio
Leon Bailey,Jamaica,82,LM,RM,,21,Leverkusen
Gelson Martins,Portugal,82,RM,,,23,Atlético Madrid
Eric Bailly,Ivory Coast,82,CB,,,24,Manchester Utd
Gonçalo Guedes,Portugal,82,LW,RW,ST,21,Paris
Pau López,Spain,82,GK,,,23,Real Betis
Lucas Hernández,France,82,LB,CB,,22,Atlético Madrid
Clément Lenglet,France,82,CB,,,23,FC Barcelona
Jean Michaël Seri,Ivory Coast,82,CM,CDM,,27,Fulham
Andrej Kramarić,Croatia,82,ST,LW,RW,27,TSG Hoffenheim
Dani García,Spain,82,CDM,CM,,28,Athletic Club
Andreas Christensen,Denmark,82,CB,,,22,Chelsea
Anderson TaliscaL,Brazil,82,CAM,CF,CM,24,Guangzhou
Federico Bernardeschi,Italy,82,RM,CF,,24,Juventus
Julian Brandt,Germany,82,LM,RM,CAM,22,Leverkusen
Daniele Rugani,Italy,82,CB,,,24,Juventus
Alessio Romagnoli,Italy,82,CB,,,23,Milan
Thomas Partey,Ghana,82,CDM,CM,RM,25,Atlético Madrid
Fred,Brazil,82,CM,CDM,,25,Manchester Utd
Jamie Vardy,England,82,ST,,,31,Leicester City
Hakim Ziyech,Morocco,82,CAM,RW,,25,Ajax
Andrea Belotti,Italy,82,ST,,,24,Torino
Emil Forsberg,Sweden,82,CAM,LM,,26,RB Leipzig
Carlos Bacca,Colombia,82,ST,,,31,Villarreal CF
Jesse Lingard,England,82,CAM,RW,CM,25,Manchester Utd
Franco Vázquez,Italy,82,CAM,CM,,29,Sevilla FC
Serge Gnabry,Germany,82,LM,ST,CAM,23,FC Bayern
Edin Višća,Bosnia Herzegovina,82,RM,,,28,Başakşehir
John Stones,England,82,CB,,,24,Manchester City
Alessandro Florenzi,Italy,82,RB,RW,CM,27,Roma
Harry Maguire,England,82,CB,,,25,Leicester City
Simone ZazaL,Italy,82,ST,,,27,Torino
Suso,Spain,82,RW,CF,,24,Milan
Thomas Meunier,Belgium,82,RB,RM,,26,Paris
Felipe Anderson,Brazil,82,LM,CF,RM,25,West Ham
Geoffrey Kondogbia,France,82,CM,CDM,,25,Valencia CF
Rafinha,Brazil,82,CAM,CM,,25,FC Barcelona
Gabriel Paulista,Brazil,82,CB,RB,,27,Valencia CF
Lucas,Brazil,82,RM,LM,,26,Spurs
Allan,Brazil,82,CM,,,27,Napoli
Francesco Acerbi,Italy,82,CB,,,30,Lazio
Cédric Bakambu,DR Congo,82,ST,,,27,Beijing Guoan
Wilfried Zaha,Ivory Coast,82,CF,LM,RM,25,Crystal Palace
Luis Alberto,Spain,82,CF,CAM,CM,25,Lazio
Jonathan Viera,Spain,82,CAM,CM,,28,Beijing Guoan
Bartra,Spain,82,CB,RB,,27,Real Betis
Sebastián Coates,Uruguay,82,CB,,,27,Sporting CP
Kevin Kampl,Slovenia,82,CM,CAM,CDM,27,RB Leipzig
Idrissa Gueye,Senegal,82,CDM,CM,,28,Everton
Víctor Ruiz,Spain,82,CB,,,29,Villarreal CF
Koen Casteels,Belgium,82,GK,,,26,VfL Wolfsburg
Marcos Alonso,Spain,82,LB,LWB,,27,Chelsea
Mario Götze,Germany,82,CM,CAM,CF,26,Dortmund
Shkodran Mustafi,Germany,82,CB,,,26,Arsenal
Ander Herrera,Spain,82,CM,CDM,,29,Manchester Utd
Javier Pastore,Argentina,82,CM,LW,RW,29,Roma
Pedro,Spain,82,RW,LW,,31,Chelsea
Giacomo Bonaventura,Italy,82,CM,LW,,28,Milan
Taison,Brazil,82,LM,CAM,,30,Shakhtar Donetsk
Oscar,Brazil,82,CAM,CM,,26,Shanghai SIPG
Steven Nzonzi,France,82,CDM,CM,,29,Roma
Marlos,Ukraine,82,RM,,,30,Shakhtar Donetsk
Aaron Ramsey,Wales,82,CM,CDM,CAM,27,Arsenal
Kieran Trippier,England,82,RB,RWB,,27,Spurs
Ömer Toprak,Turkey,82,CB,,,29,Dortmund
Aleksandar Kolarov,Serbia,82,LB,CB,,32,Roma
Gylfi Sigurðsson,Iceland,82,CAM,LM,LW,28,Everton
Sebastian Giovinco,Italy,82,CF,ST,,31,Toronto FC
Marko Arnautović,Austria,82,ST,LM,,29,West Ham
Nicolás Gaitán,Argentina,82,CAM,,,30,Dalian Yifang
Jordan Henderson,England,82,CDM,CM,,28,Liverpool
Max Kruse,Germany,82,CF,ST,CAM,30,Werder Bremen
Marco Parolo,Italy,82,CDM,CM,,33,Lazio
Ljubomir Fejsa,Serbia,82,CDM,,,30,SL Benfica
Adil Rami,France,82,CB,,,32,OM
Vedran Ćorluka,Croatia,82,CB,,,32,Lokomotiv Moscow
Georginio Wijnaldum,Netherlands,82,CM,,,27,Liverpool
Federico Fazio,Argentina,82,CB,,,31,Roma
Olivier Giroud,France,82,ST,,,31,Chelsea
Yann Sommer,Switzerland,82,GK,,,29,M'gladbach
Lars Bender,Germany,82,RB,CDM,CM,29,Leverkusen
Axel Witsel,Belgium,82,CM,CDM,,29,Dortmund
Marcano,Spain,82,CB,,,31,Roma
Daniel Wass,Denmark,82,CM,RM,LM,29,Valencia CF
Andrés Guardado,Mexico,82,CM,CDM,,31,Real Betis
Ezequiel Garay,Argentina,82,CB,,,31,Valencia CF
Jardel,Brazil,82,CB,,,32,SL Benfica
Salvatore Sirigu,Italy,82,GK,,,31,Torino
Antonio Valencia,Ecuador,82,RB,,,33,Manchester Utd
Laurent Koscielny,France,82,CB,,,32,Arsenal
Andrea Consigli,Italy,82,GK,,,31,Sassuolo
Lucas Biglia,Argentina,82,CDM,CM,,32,Milan
Dani Alves,Brazil,82,RB,,,35,Paris
David Villa,Spain,82,ST,,,36,New York City FC
Rune Almenning Jarstein,Norway,82,GK,,,33,Hertha BSC
Petr Čech,Czech Republic,82,GK,,,36,Arsenal
Joaquín,Spain,82,RM,LM,ST,37,Real Betis
Casillas,Spain,82,GK,,,37,FC Porto
Marcus Rashford,England,81,LW,ST,RW,20,Manchester Utd
Laure Santeiro,Brazil,81,CAM,LW,,30,Fluminense
Pablo Fornals,Spain,81,CAM,CM,LM,22,Villarreal CF
Fabián,Spain,81,CM,CDM,CAM,22,Napoli
Morales,Spain,81,LM,RM,ST,31,Levante UD
Andrew Robertson,Scotland,81,LB,,,24,Liverpool
Williams,Spain,81,ST,RW,,24,Athletic Club
Gerónimo Rulli,Argentina,81,GK,,,26,Real Sociedad
João Mário,Portugal,81,CAM,LW,CM,25,Inter
Elseid Hysaj,Albania,81,RB,,,24,Napoli
João Cancelo,Portugal,81,RB,,,24,Juventus
Ricardo Pereira,Portugal,81,RB,RM,LB,24,Leicester City
Grimaldo,Spain,81,LB,,,22,SL Benfica
Abdoulaye Doucouré,France,81,CDM,CM,,25,Watford
Josef Martínez,Venezuela,81,ST,,,25,Atlanta United
Ben Davies,Wales,81,LB,LWB,,25,Spurs
Antonio Rüdiger,Germany,81,CB,,,25,Chelsea
Matija Nastasić,Serbia,81,CB,,,25,Schalke
Marcel Sabitzer,Austria,81,CAM,ST,,24,RB Leipzig
Benjamin Mendy,France,81,LB,LWB,,24,Manchester City
Michy BatshuayiL,Belgium,81,ST,,,24,Valencia CF
Christoph Kramer,Germany,81,CDM,CM,,27,M'gladbach
Šime VrsaljkoL,Croatia,81,RB,LB,,26,Inter
Thorgan Hazard,Belgium,81,LM,RM,CF,25,M'gladbach
Jack Butland,England,81,GK,,,25,Stoke City
Deulofeu,Spain,81,RM,LM,RW,24,Watford
Salif Sané,Senegal,81,CB,CDM,,27,Schalke
Faouzi Ghoulam,Algeria,81,LB,,,27,Napoli
Jeison MurilloL,Colombia,81,CB,,,26,Valencia CF
Benjamin Lecomte,France,81,GK,,,27,Montpellier HSC
Josip Iličić,Slovenia,81,CF,CAM,,30,Atalanta
Kevin Volland,Germany,81,ST,RW,LW,26,Leverkusen
Jasper Cillessen,Netherlands,81,GK,,,29,FC Barcelona
Vitolo,Spain,81,LM,RM,,28,Atlético Madrid
Granit Xhaka,Switzerland,81,CM,CDM,,25,Arsenal
Wissam Ben Yedder,France,81,ST,CAM,LM,28,Sevilla FC
Charles Aránguiz,Chile,81,CM,CDM,,29,Leverkusen
Pablo Sarabia,Spain,81,RM,LM,LB,26,Sevilla FC
Serge Aurier,Ivory Coast,81,RB,,,25,Spurs
Joel Matip,Cameroon,81,CB,,,27,Liverpool
Simone Verdi,Italy,81,RW,CAM,,26,Napoli
Dejan Lovren,Croatia,81,CB,,,29,Liverpool
Gary Medel,Chile,81,CDM,CB,,31,Beşiktaş
Mário Fernandes,Russia,81,RWB,RM,,27,CSKA Moscow
Xherdan Shaqiri,Switzerland,81,RW,RM,CAM,26,Liverpool
Jesús Corona,Mexico,81,RM,,,25,FC Porto
Alphonse Areola,France,81,GK,,,25,Paris
Maicon,Brazil,81,CB,,,29,Galatasaray
Eduardo Salvio,Argentina,81,RW,,,28,SL Benfica
Stephan El Shaarawy,Italy,81,LW,RW,,25,Roma
Chris Smalling,England,81,CB,,,28,Manchester Utd
Guaita,Spain,81,GK,,,31,Crystal Palace
Iborra,Spain,81,CDM,CM,CAM,30,Leicester City
Hulk,Brazil,81,RM,CAM,,32,Shanghai SIPG
Sebastian Rudy,Germany,81,CM,CDM,RB,28,FC Bayern
Roman Bürki,Switzerland,81,GK,,,27,Dortmund
Manuel Lanzini,Argentina,81,CAM,CM,LM,25,West Ham
Fedor Smolov,Russia,81,ST,,,28,Lokomotiv Moscow
Lars Stindl,Germany,81,CF,,,29,M'gladbach
Bruno,Spain,81,CM,CDM,,34,Villarreal CF
Diego Perotti,Argentina,81,LW,CF,,30,Roma
Fernando Muslera,Uruguay,81,GK,,,32,Galatasaray
Anthony ModesteL,France,81,ST,,,30,Tianjin Quanjian
Adam Lallana,England,81,CM,,,30,Liverpool
Marcelo,Brazil,81,CB,,,31,OL
Benedikt Höwedes,Germany,81,CB,,,30,Lokomotiv Moscow
Sven Bender,Germany,81,CB,CDM,,29,Leverkusen
Mathieu Valbuena,France,81,LW,LM,CAM,33,Fenerbahçe
Kévin Gameiro,France,81,ST,,,31,Valencia CF
Pedro León,Spain,81,RM,LM,,31,SD Eibar
Kevin-Prince Boateng,Ghana,81,CM,ST,CAM,31,Sassuolo
Łukasz Piszczek,Poland,81,RB,CB,,33,Dortmund
Antonio Candreva,Italy,81,RM,,,31,Inter
Domenico Criscito,Italy,81,LB,CB,,31,Genoa
Raúl García,Spain,81,CAM,,,32,Athletic Club
Carlos Vela,Mexico,81,RW,LW,CAM,29,LAFC
Renato Augusto,Brazil,81,CM,CAM,CDM,30,Beijing Guoan
Martin Škrtel,Slovakia,81,CB,,,33,Fenerbahçe
Gary Cahill,England,81,CB,,,32,Chelsea
João Moutinho,Portugal,81,CM,CDM,CAM,31,Wolves
Borja Valero,Spain,81,CAM,CDM,,33,Inter
Bafétimbi Gomis,France,81,ST,,,33,Galatasaray
Manuel Fernandes,Portugal,81,LM,CAM,,32,Lokomotiv Moscow
Héctor Herrera,Mexico,81,CM,,,28,FC Porto
Mario Gómez,Germany,81,ST,,,33,VfB Stuttgart
Raffael,Brazil,81,CF,ST,,33,M'gladbach
James Milner,England,81,CM,LB,,32,Liverpool
Jérémy Mathieu,France,81,CB,LB,,34,Sporting CP
Maximiliano Gómez,Uruguay,80,ST,,,22,RC Celta
Matthijs de Ligt,Netherlands,80,CB,,,19,Ajax
Carlos Soler,Spain,80,RM,CM,CAM,21,Valencia CF
Odriozola,Spain,80,RB,,,22,Real Madrid
Miguel Almirón,Paraguay,80,CAM,,,24,Atlanta United
Welington Dano,Brazil,80,LB,LM,,30,Cruzeiro
Everton Andrão,Brazil,80,CDM,CM,,34,Fluminense
Oyarzabal,Spain,80,LW,RW,,21,Real Sociedad
Fabián Balbuena,Paraguay,80,CB,,,26,West Ham
Nélson Semedo,Portugal,80,RB,,,24,FC Barcelona
Moussa Marega,Mali,80,ST,RM,,27,FC Porto
Benjamin Pavard,France,80,CB,RB,CDM,22,VfB Stuttgart
Wilfred Ndidi,Nigeria,80,CDM,CM,,21,Leicester City
Giovani Lo Celso,Argentina,80,CM,CAM,CDM,22,Paris
Marcos Acuña,Argentina,80,LM,LB,RM,26,Sporting CP
Cristian Pavón,Argentina,80,RW,ST,RM,22,Buenos Aires
Karl Toko-Ekambi,Cameroon,80,ST,LW,LM,25,Villarreal CF
Franco Cervi,Argentina,80,LW,,,24,SL Benfica
Julian Weigl,Germany,80,CDM,CM,,22,Dortmund
Hirving Lozano,Mexico,80,RW,LW,,23,PSV
Mariano,Dominican Republic,80,ST,,,25,OL
Raúl,Brazil,80,CB,,,28,SC Braga
Mattia Caldara,Italy,80,CB,,,24,Milan
Matias Vecino,Uruguay,80,CDM,CM,,26,Inter
Tiémoué BakayokoL,France,80,CDM,CM,,24,Milan
Matteo PolitanoL,Italy,80,LW,ST,RW,25,Inter
Marcelo Brozović,Croatia,80,CDM,CAM,CM,25,Inter
Keita BaldéL,Senegal,80,RM,ST,LM,23,Inter
Ángel Correa,Argentina,80,RM,ST,,23,Atlético Madrid
Rony Lopes,Portugal,80,RM,LM,,22,AS Monaco
Santi Mina,Spain,80,ST,LW,RW,22,Valencia CF
Thomas Strakosha,Albania,80,GK,,,23,Lazio
Kerem Demirbay,Germany,80,CAM,CM,,25,TSG Hoffenheim
André GomesL,Portugal,80,CM,LM,RM,25,Everton
Morgan Sanson,France,80,CM,CAM,CDM,24,OM
Piotr Zieliński,Poland,80,CM,,,24,Napoli
Emre Can,Germany,80,CM,CDM,,24,Juventus
Hakan Çalhanoğlu,Turkey,80,LW,CAM,,24,Milan
Sead Kolašinac,Bosnia Herzegovina,80,LB,LWB,LM,25,Arsenal
Matthias Ginter,Germany,80,CB,CDM,,24,M'gladbach
Leandro Paredes,Argentina,80,CM,CDM,,24,Free Agents
Sergio RicoL,Spain,80,GK,,,24,Fulham
Alassane Pléa,France,80,ST,RW,,25,M'gladbach
Taras Stepanenko,Ukraine,80,CDM,,,29,Shakhtar Donetsk
Zouhair Feddal,Morocco,80,CB,,,28,Real Betis
Bernard,Brazil,80,LM,,,25,Everton
Arkadiusz Milik,Poland,80,ST,,,24,Napoli
Takashi Inui,Japan,80,LM,,,30,Real Betis
Portu,Spain,80,RM,ST,,26,Girona FC
Eran Zahavi,Israel,80,CAM,LM,RM,31,Guangzhou R&F
John Brooks,United States,80,CB,,,25,VfL Wolfsburg
Nick Pope,England,80,GK,,,26,Burnley
Héctor Bellerín,Spain,80,RB,RWB,,23,Arsenal
Karim Bellarabi,Germany,80,RM,,,28,Leverkusen
Jannik Vestergaard,Denmark,80,CB,,,26,Southampton
James Tarkowski,England,80,CB,,,25,Burnley
Eric Dier,England,80,CDM,CB,,24,Spurs
